geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
2,18,-151.5934219,63.74298902,-86.28183839,39.91986962,01/01/2019,30,589
2,19,-151.5934219,63.74298902,-93.50009012,42.07464833,01/01/2019,6,117
2,20,-151.5934219,63.74298902,-98.3801554,38.48472707,01/01/2019,31,609
2,21,-151.5934219,63.74298902,-85.29055223,37.52661417,01/01/2019,11,216
2,22,-151.5934219,63.74298902,-91.81423318,30.9090729,01/01/2019,38,746
2,23,-151.5934219,63.74298902,-69.20275986,45.27432853,01/01/2019,1,19
2,24,-151.5934219,63.74298902,-76.68717734,38.94649396,01/01/2019,13,255
2,25,-151.5934219,63.74298902,-71.50397204,42.16009327,01/01/2019,13,255
2,26,-151.5934219,63.74298902,-85.73095291,44.8747736,01/01/2019,59,1159
2,27,-151.5934219,63.74298902,-94.1983056,46.34911038,01/01/2019,62,1218
2,28,-151.5934219,63.74298902,-89.65335941,32.71289227,01/01/2019,11,216
2,29,-151.5934219,63.74298902,-92.4774252,38.36763044,01/01/2019,51,1001
2,30,-151.5934219,63.74298902,-109.645207,47.03342111,01/01/2019,53,1041
2,31,-151.5934219,63.74298902,-99.81085586,41.52715113,01/01/2019,13,255
2,32,-151.5934219,63.74298902,-116.6552487,39.35618587,01/01/2019,111,2180
2,33,-151.5934219,63.74298902,-71.57124317,43.68023706,01/01/2019,2,39
2,34,-151.5934219,63.74298902,-74.65561231,40.11017985,01/01/2019,27,530
2,35,-151.5934219,63.74298902,-106.1084439,34.42130099,01/01/2019,29,569
2,36,-151.5934219,63.74298902,-75.59654322,42.92123355,01/01/2019,80,1571
2,37,-151.5934219,63.74298902,-79.13090892,35.52603039,01/01/2019,58,1139
2,38,-151.5934219,63.74298902,-100.4693908,47.44631042,01/01/2019,8,157
2,39,-151.5934219,63.74298902,-82.70937701,40.41548691,01/01/2019,34,667
2,40,-151.5934219,63.74298902,-97.50822793,35.58346465,01/01/2019,39,766
2,41,-151.5934219,63.74298902,-120.6052563,43.94045139,01/01/2019,208,4086
2,42,-151.5934219,63.74298902,-77.83893801,40.89670051,01/01/2019,35,687
2,45,-151.5934219,63.74298902,-80.86459716,33.87785607,01/01/2019,17,333
2,46,-151.5934219,63.74298902,-100.2304655,44.43613759,01/01/2019,4,78
2,47,-151.5934219,63.74298902,-86.34341233,35.84298014,01/01/2019,53,1041
2,48,-151.5934219,63.74298902,-99.31712097,31.44721219,01/01/2019,338,6640
2,49,-151.5934219,63.74298902,-111.67825,39.32376871,01/01/2019,55,1080
2,50,-151.5934219,63.74298902,-72.66263037,44.07524823,01/01/2019,7,137
2,51,-151.5934219,63.74298902,-78.66634949,37.5108731,01/01/2019,53,1041
2,53,-151.5934219,63.74298902,-120.5928999,47.41163922,01/01/2019,830,16306
2,54,-151.5934219,63.74298902,-80.6137069,38.6425671,01/01/2019,8,157
2,55,-151.5934219,63.74298902,-89.73293306,44.63994411,01/01/2019,58,1139
2,56,-151.5934219,63.74298902,-107.5513942,42.99953746,01/01/2019,23,451
2,72,-151.5934219,63.74298902,-66.41466678,18.21569834,01/01/2019,6,117
4,1,-111.6644603,34.29309519,-86.844521,32.75687994,01/01/2019,265,4044
4,2,-111.6644603,34.29309519,-151.5934219,63.74298902,01/01/2019,123,1877
4,4,-111.6644603,34.29309519,-111.6644603,34.29309519,01/01/2019,688637,10509983
4,5,-111.6644603,34.29309519,-92.43923686,34.89977242,01/01/2019,238,3632
4,6,-111.6644603,34.29309519,-119.6638459,37.21530826,01/01/2019,20537,313435
4,8,-111.6644603,34.29309519,-105.5478211,38.9985316,01/01/2019,2510,38307
4,9,-111.6644603,34.29309519,-72.73825768,41.57516415,01/01/2019,97,1480
4,10,-111.6644603,34.29309519,-75.45249263,38.99497529,01/01/2019,25,381
4,11,-111.6644603,34.29309519,-77.0162909,38.90477389,01/01/2019,75,1144
4,12,-111.6644603,34.29309519,-82.46641839,28.47705841,01/01/2019,1725,26326
4,13,-111.6644603,34.29309519,-83.42714021,32.63861711,01/01/2019,517,7890
4,15,-111.6644603,34.29309519,-158.1099738,20.9951112,01/01/2019,886,13522
4,16,-111.6644603,34.29309519,-114.659414,44.38905509,01/01/2019,601,9172
4,17,-111.6644603,34.29309519,-89.14863899,40.12420083,01/01/2019,1676,25579
4,18,-111.6644603,34.29309519,-86.28183839,39.91986962,01/01/2019,512,7814
4,19,-111.6644603,34.29309519,-93.50009012,42.07464833,01/01/2019,496,7569
4,20,-111.6644603,34.29309519,-98.3801554,38.48472707,01/01/2019,447,6822
4,21,-111.6644603,34.29309519,-85.29055223,37.52661417,01/01/2019,207,3159
4,22,-111.6644603,34.29309519,-91.81423318,30.9090729,01/01/2019,397,6059
4,23,-111.6644603,34.29309519,-69.20275986,45.27432853,01/01/2019,39,595
4,24,-111.6644603,34.29309519,-76.68717734,38.94649396,01/01/2019,226,3449
4,25,-111.6644603,34.29309519,-71.50397204,42.16009327,01/01/2019,208,3174
4,26,-111.6644603,34.29309519,-85.73095291,44.8747736,01/01/2019,686,10469
4,27,-111.6644603,34.29309519,-94.1983056,46.34911038,01/01/2019,850,12972
4,28,-111.6644603,34.29309519,-89.65335941,32.71289227,01/01/2019,163,2487
4,29,-111.6644603,34.29309519,-92.4774252,38.36763044,01/01/2019,744,11354
4,30,-111.6644603,34.29309519,-109.645207,47.03342111,01/01/2019,321,4899
4,31,-111.6644603,34.29309519,-99.81085586,41.52715113,01/01/2019,343,5234
4,32,-111.6644603,34.29309519,-116.6552487,39.35618587,01/01/2019,4806,73349
4,33,-111.6644603,34.29309519,-71.57124317,43.68023706,01/01/2019,51,778
4,34,-111.6644603,34.29309519,-74.65561231,40.11017985,01/01/2019,411,6272
4,35,-111.6644603,34.29309519,-106.1084439,34.42130099,01/01/2019,2247,34293
4,36,-111.6644603,34.29309519,-75.59654322,42.92123355,01/01/2019,1010,15414
4,37,-111.6644603,34.29309519,-79.13090892,35.52603039,01/01/2019,475,7249
4,38,-111.6644603,34.29309519,-100.4693908,47.44631042,01/01/2019,192,2930
4,39,-111.6644603,34.29309519,-82.70937701,40.41548691,01/01/2019,694,10591
4,40,-111.6644603,34.29309519,-97.50822793,35.58346465,01/01/2019,425,6486
4,41,-111.6644603,34.29309519,-120.6052563,43.94045139,01/01/2019,876,13369
4,42,-111.6644603,34.29309519,-77.83893801,40.89670051,01/01/2019,559,8531
4,44,-111.6644603,34.29309519,-71.52472356,41.5946389,01/01/2019,35,534
4,45,-111.6644603,34.29309519,-80.86459716,33.87785607,01/01/2019,239,3647
4,46,-111.6644603,34.29309519,-100.2304655,44.43613759,01/01/2019,217,3311
4,47,-111.6644603,34.29309519,-86.34341233,35.84298014,01/01/2019,422,6440
4,48,-111.6644603,34.29309519,-99.31712097,31.44721219,01/01/2019,4116,62818
4,49,-111.6644603,34.29309519,-111.67825,39.32376871,01/01/2019,1963,29959
4,50,-111.6644603,34.29309519,-72.66263037,44.07524823,01/01/2019,37,564
4,51,-111.6644603,34.29309519,-78.66634949,37.5108731,01/01/2019,461,7035
4,53,-111.6644603,34.29309519,-120.5928999,47.41163922,01/01/2019,1638,24999
4,54,-111.6644603,34.29309519,-80.6137069,38.6425671,01/01/2019,45,686
4,55,-111.6644603,34.29309519,-89.73293306,44.63994411,01/01/2019,562,8577
4,56,-111.6644603,34.29309519,-107.5513942,42.99953746,01/01/2019,161,2457
4,72,-111.6644603,34.29309519,-66.41466678,18.21569834,01/01/2019,63,961
5,1,-92.43923686,34.89977242,-86.844521,32.75687994,01/01/2019,547,7061
5,2,-92.43923686,34.89977242,-151.5934219,63.74298902,01/01/2019,26,335
5,4,-92.43923686,34.89977242,-111.6644603,34.29309519,01/01/2019,358,4621
5,5,-92.43923686,34.89977242,-92.43923686,34.89977242,01/01/2019,377710,4875830
5,6,-92.43923686,34.89977242,-119.6638459,37.21530826,01/01/2019,975,12586
5,8,-92.43923686,34.89977242,-105.5478211,38.9985316,01/01/2019,1103,14238
5,9,-92.43923686,34.89977242,-72.73825768,41.57516415,01/01/2019,28,361
5,10,-92.43923686,34.89977242,-75.45249263,38.99497529,01/01/2019,12,154
5,11,-92.43923686,34.89977242,-77.0162909,38.90477389,01/01/2019,32,413
5,12,-92.43923686,34.89977242,-82.46641839,28.47705841,01/01/2019,1877,24230
5,13,-92.43923686,34.89977242,-83.42714021,32.63861711,01/01/2019,717,9255
5,15,-92.43923686,34.89977242,-158.1099738,20.9951112,01/01/2019,136,1755
5,16,-92.43923686,34.89977242,-114.659414,44.38905509,01/01/2019,33,425
5,17,-92.43923686,34.89977242,-89.14863899,40.12420083,01/01/2019,924,11927
5,18,-92.43923686,34.89977242,-86.28183839,39.91986962,01/01/2019,261,3369
5,19,-92.43923686,34.89977242,-93.50009012,42.07464833,01/01/2019,147,1897
5,20,-92.43923686,34.89977242,-98.3801554,38.48472707,01/01/2019,828,10688
5,21,-92.43923686,34.89977242,-85.29055223,37.52661417,01/01/2019,292,3769
5,22,-92.43923686,34.89977242,-91.81423318,30.9090729,01/01/2019,2105,27173
5,23,-92.43923686,34.89977242,-69.20275986,45.27432853,01/01/2019,8,103
5,24,-92.43923686,34.89977242,-76.68717734,38.94649396,01/01/2019,64,826
5,25,-92.43923686,34.89977242,-71.50397204,42.16009327,01/01/2019,51,658
5,26,-92.43923686,34.89977242,-85.73095291,44.8747736,01/01/2019,271,3498
5,27,-92.43923686,34.89977242,-94.1983056,46.34911038,01/01/2019,120,1549
5,28,-92.43923686,34.89977242,-89.65335941,32.71289227,01/01/2019,1654,21351
5,29,-92.43923686,34.89977242,-92.4774252,38.36763044,01/01/2019,4712,60826
5,30,-92.43923686,34.89977242,-109.645207,47.03342111,01/01/2019,23,296
5,31,-92.43923686,34.89977242,-99.81085586,41.52715113,01/01/2019,90,1161
5,32,-92.43923686,34.89977242,-116.6552487,39.35618587,01/01/2019,254,3278
5,33,-92.43923686,34.89977242,-71.57124317,43.68023706,01/01/2019,15,193
5,34,-92.43923686,34.89977242,-74.65561231,40.11017985,01/01/2019,65,839
5,35,-92.43923686,34.89977242,-106.1084439,34.42130099,01/01/2019,227,2930
5,36,-92.43923686,34.89977242,-75.59654322,42.92123355,01/01/2019,344,4440
5,37,-92.43923686,34.89977242,-79.13090892,35.52603039,01/01/2019,316,4079
5,38,-92.43923686,34.89977242,-100.4693908,47.44631042,01/01/2019,31,400
5,39,-92.43923686,34.89977242,-82.70937701,40.41548691,01/01/2019,310,4001
5,40,-92.43923686,34.89977242,-97.50822793,35.58346465,01/01/2019,3704,47814
5,41,-92.43923686,34.89977242,-120.6052563,43.94045139,01/01/2019,60,774
5,42,-92.43923686,34.89977242,-77.83893801,40.89670051,01/01/2019,221,2852
5,44,-92.43923686,34.89977242,-71.52472356,41.5946389,01/01/2019,9,116
5,45,-92.43923686,34.89977242,-80.86459716,33.87785607,01/01/2019,207,2672
5,46,-92.43923686,34.89977242,-100.2304655,44.43613759,01/01/2019,32,413
5,47,-92.43923686,34.89977242,-86.34341233,35.84298014,01/01/2019,4022,51919
5,48,-92.43923686,34.89977242,-99.31712097,31.44721219,01/01/2019,8640,111533
5,49,-92.43923686,34.89977242,-111.67825,39.32376871,01/01/2019,144,1858
5,50,-92.43923686,34.89977242,-72.66263037,44.07524823,01/01/2019,31,400
5,51,-92.43923686,34.89977242,-78.66634949,37.5108731,01/01/2019,227,2930
5,53,-92.43923686,34.89977242,-120.5928999,47.41163922,01/01/2019,92,1187
5,54,-92.43923686,34.89977242,-80.6137069,38.6425671,01/01/2019,42,542
5,55,-92.43923686,34.89977242,-89.73293306,44.63994411,01/01/2019,160,2065
5,56,-92.43923686,34.89977242,-107.5513942,42.99953746,01/01/2019,35,451
5,72,-92.43923686,34.89977242,-66.41466678,18.21569834,01/01/2019,10,129
6,1,-119.6638459,37.21530826,-86.844521,32.75687994,01/01/2019,817,14677
6,2,-119.6638459,37.21530826,-151.5934219,63.74298902,01/01/2019,503,9036
6,4,-119.6638459,37.21530826,-111.6644603,34.29309519,01/01/2019,16464,295781
6,5,-119.6638459,37.21530826,-92.43923686,34.89977242,01/01/2019,603,10833
6,6,-119.6638459,37.21530826,-119.6638459,37.21530826,01/01/2019,3667200,65882614
6,8,-119.6638459,37.21530826,-105.5478211,38.9985316,01/01/2019,5646,101432
6,9,-119.6638459,37.21530826,-72.73825768,41.57516415,01/01/2019,600,10779
6,10,-119.6638459,37.21530826,-75.45249263,38.99497529,01/01/2019,101,1814
6,11,-119.6638459,37.21530826,-77.0162909,38.90477389,01/01/2019,577,10366
6,12,-119.6638459,37.21530826,-82.46641839,28.47705841,01/01/2019,8800,158095
6,13,-119.6638459,37.21530826,-83.42714021,32.63861711,01/01/2019,2306,41428
6,15,-119.6638459,37.21530826,-158.1099738,20.9951112,01/01/2019,9076,163053
6,16,-119.6638459,37.21530826,-114.659414,44.38905509,01/01/2019,2243,40296
6,17,-119.6638459,37.21530826,-89.14863899,40.12420083,01/01/2019,4045,72669
6,18,-119.6638459,37.21530826,-86.28183839,39.91986962,01/01/2019,1100,19761
6,19,-119.6638459,37.21530826,-93.50009012,42.07464833,01/01/2019,415,7455
