geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
1,1,-86.844521,32.75687994,-86.844521,32.75687994,02/01/2019,822310,9304342
1,2,-86.844521,32.75687994,-151.5934219,63.74298902,02/01/2019,14,158
1,4,-86.844521,32.75687994,-111.6644603,34.29309519,02/01/2019,384,4344
1,5,-86.844521,32.75687994,-92.43923686,34.89977242,02/01/2019,613,6936
1,6,-86.844521,32.75687994,-119.6638459,37.21530826,02/01/2019,1169,13227
1,8,-86.844521,32.75687994,-105.5478211,38.9985316,02/01/2019,1134,12831
1,9,-86.844521,32.75687994,-72.73825768,41.57516415,02/01/2019,132,1493
1,10,-86.844521,32.75687994,-75.45249263,38.99497529,02/01/2019,53,599
1,11,-86.844521,32.75687994,-77.0162909,38.90477389,02/01/2019,141,1595
1,12,-86.844521,32.75687994,-82.46641839,28.47705841,02/01/2019,12275,138890
1,13,-86.844521,32.75687994,-83.42714021,32.63861711,02/01/2019,18348,207605
1,15,-86.844521,32.75687994,-158.1099738,20.9951112,02/01/2019,218,2466
1,16,-86.844521,32.75687994,-114.659414,44.38905509,02/01/2019,55,622
1,17,-86.844521,32.75687994,-89.14863899,40.12420083,02/01/2019,1148,12989
1,18,-86.844521,32.75687994,-86.28183839,39.91986962,02/01/2019,555,6279
1,19,-86.844521,32.75687994,-93.50009012,42.07464833,02/01/2019,138,1561
1,20,-86.844521,32.75687994,-98.3801554,38.48472707,02/01/2019,342,3869
1,21,-86.844521,32.75687994,-85.29055223,37.52661417,02/01/2019,887,10036
1,22,-86.844521,32.75687994,-91.81423318,30.9090729,02/01/2019,2250,25458
1,23,-86.844521,32.75687994,-69.20275986,45.27432853,02/01/2019,44,497
1,24,-86.844521,32.75687994,-76.68717734,38.94649396,02/01/2019,347,3926
1,25,-86.844521,32.75687994,-71.50397204,42.16009327,02/01/2019,201,2274
1,26,-86.844521,32.75687994,-85.73095291,44.8747736,02/01/2019,630,7128
1,27,-86.844521,32.75687994,-94.1983056,46.34911038,02/01/2019,199,2251
1,28,-86.844521,32.75687994,-89.65335941,32.71289227,02/01/2019,5578,63114
1,29,-86.844521,32.75687994,-92.4774252,38.36763044,02/01/2019,671,7592
1,30,-86.844521,32.75687994,-109.645207,47.03342111,02/01/2019,104,1176
1,31,-86.844521,32.75687994,-99.81085586,41.52715113,02/01/2019,61,690
1,32,-86.844521,32.75687994,-116.6552487,39.35618587,02/01/2019,308,3484
1,33,-86.844521,32.75687994,-71.57124317,43.68023706,02/01/2019,27,305
1,34,-86.844521,32.75687994,-74.65561231,40.11017985,02/01/2019,320,3620
1,35,-86.844521,32.75687994,-106.1084439,34.42130099,02/01/2019,131,1482
1,36,-86.844521,32.75687994,-75.59654322,42.92123355,02/01/2019,960,10862
1,37,-86.844521,32.75687994,-79.13090892,35.52603039,02/01/2019,1612,18239
1,38,-86.844521,32.75687994,-100.4693908,47.44631042,02/01/2019,30,339
1,39,-86.844521,32.75687994,-82.70937701,40.41548691,02/01/2019,697,7886
1,40,-86.844521,32.75687994,-97.50822793,35.58346465,02/01/2019,304,3439
1,41,-86.844521,32.75687994,-120.6052563,43.94045139,02/01/2019,73,825
1,42,-86.844521,32.75687994,-77.83893801,40.89670051,02/01/2019,519,5872
1,44,-86.844521,32.75687994,-71.52472356,41.5946389,02/01/2019,22,248
1,45,-86.844521,32.75687994,-80.86459716,33.87785607,02/01/2019,986,11156
1,46,-86.844521,32.75687994,-100.2304655,44.43613759,02/01/2019,25,282
1,47,-86.844521,32.75687994,-86.34341233,35.84298014,02/01/2019,9203,104130
1,48,-86.844521,32.75687994,-99.31712097,31.44721219,02/01/2019,2849,32236
1,49,-86.844521,32.75687994,-111.67825,39.32376871,02/01/2019,277,3134
1,50,-86.844521,32.75687994,-72.66263037,44.07524823,02/01/2019,10,113
1,51,-86.844521,32.75687994,-78.66634949,37.5108731,02/01/2019,972,10998
1,53,-86.844521,32.75687994,-120.5928999,47.41163922,02/01/2019,161,1821
1,54,-86.844521,32.75687994,-80.6137069,38.6425671,02/01/2019,192,2172
1,55,-86.844521,32.75687994,-89.73293306,44.63994411,02/01/2019,260,2941
1,56,-86.844521,32.75687994,-107.5513942,42.99953746,02/01/2019,67,758
1,72,-86.844521,32.75687994,-66.41466678,18.21569834,02/01/2019,56,633
2,1,-151.5934219,63.74298902,-86.844521,32.75687994,02/01/2019,38,707
2,2,-151.5934219,63.74298902,-151.5934219,63.74298902,02/01/2019,60146,1119955
2,4,-151.5934219,63.74298902,-111.6644603,34.29309519,02/01/2019,272,5064
2,5,-151.5934219,63.74298902,-92.43923686,34.89977242,02/01/2019,13,242
2,6,-151.5934219,63.74298902,-119.6638459,37.21530826,02/01/2019,521,9701
2,8,-151.5934219,63.74298902,-105.5478211,38.9985316,02/01/2019,152,2830
2,9,-151.5934219,63.74298902,-72.73825768,41.57516415,02/01/2019,17,316
2,11,-151.5934219,63.74298902,-77.0162909,38.90477389,02/01/2019,3,55
2,12,-151.5934219,63.74298902,-82.46641839,28.47705841,02/01/2019,344,6405
2,13,-151.5934219,63.74298902,-83.42714021,32.63861711,02/01/2019,102,1899
2,15,-151.5934219,63.74298902,-158.1099738,20.9951112,02/01/2019,402,7485
2,16,-151.5934219,63.74298902,-114.659414,44.38905509,02/01/2019,47,875
2,17,-151.5934219,63.74298902,-89.14863899,40.12420083,02/01/2019,84,1564
2,18,-151.5934219,63.74298902,-86.28183839,39.91986962,02/01/2019,34,633
2,19,-151.5934219,63.74298902,-93.50009012,42.07464833,02/01/2019,13,242
2,20,-151.5934219,63.74298902,-98.3801554,38.48472707,02/01/2019,33,614
