"geoid_o","geoid_d","lng_o","lat_o","lng_d","lat_d","date","visitor_flows","pop_flows","date_range"
"California","Washington","-119.6638458867405","37.21530826027419","-120.59289987466929","47.41163921872467","2021-01-21","3188","78907.0",""
"California","West Virginia","-119.6638458867405","37.21530826027419","-80.61370689717069","38.64256709677395","2021-01-21","66","1633.0",""
"California","Wisconsin","-119.6638458867405","37.21530826027419","-89.73293305821664","44.63994410730462","2021-01-21","348","8613.0",""
"California","Wyoming","-119.6638458867405","37.21530826027419","-107.55139421018254","42.9995374625361","2021-01-21","316","7821.0",""
"California","Puerto Rico","-119.6638458867405","37.21530826027419","-66.41466678397286","18.21569833731172","2021-01-21","41","1014.0",""
"Connecticut","Alabama","-72.73825767764087","41.57516414989576","-86.8445209956579","32.75687994183124","2021-01-21","77","1621.0",""
"Connecticut","Alaska","-72.73825767764087","41.57516414989576","-151.59342192189865","63.74298901509072","2021-01-21","2","42.0",""
"Connecticut","Arizona","-72.73825767764087","41.57516414989576","-111.6644603390921","34.29309519459149","2021-01-21","103","2168.0",""
"Connecticut","Arkansas","-72.73825767764087","41.57516414989576","-92.43923686174864","34.8997724175194","2021-01-21","24","505.0",""
"Connecticut","California","-72.73825767764087","41.57516414989576","-119.6638458867405","37.21530826027419","2021-01-21","180","3790.0",""
"Connecticut","Colorado","-72.73825767764087","41.57516414989576","-105.5478211203382","38.99853159698931","2021-01-21","64","1347.0",""
"Connecticut","Connecticut","-72.73825767764087","41.57516414989576","-72.73825767764087","41.57516414989576","2021-01-21","283913","5978135.0",""
"Connecticut","Delaware","-72.73825767764087","41.57516414989576","-75.45249262811352","38.99497528640457","2021-01-21","29","610.0",""
"Connecticut","District of Columbia","-72.73825767764087","41.57516414989576","-77.0162909035438","38.90477388790585","2021-01-21","64","1347.0",""
"Connecticut","Florida","-72.73825767764087","41.57516414989576","-82.46641838867941","28.477058414990196","2021-01-21","1915","40322.0",""
"Connecticut","Georgia","-72.73825767764087","41.57516414989576","-83.42714021377525","32.63861711465618","2021-01-21","163","3432.0",""
"Connecticut","Hawaii","-72.73825767764087","41.57516414989576","-158.1099738068461","20.99511119900836","2021-01-21","20","421.0",""
"Connecticut","Idaho","-72.73825767764087","41.57516414989576","-114.6594139607683","44.389055086057056","2021-01-21","14","294.0",""
"Connecticut","Illinois","-72.73825767764087","41.57516414989576","-89.14863899339443","40.12420082696936","2021-01-21","108","2274.0",""
"Connecticut","Indiana","-72.73825767764087","41.57516414989576","-86.28183838774677","39.919869617318085","2021-01-21","81","1705.0",""
"Connecticut","Iowa","-72.73825767764087","41.57516414989576","-93.50009011569544","42.07464832674591","2021-01-21","12","252.0",""
"Connecticut","Kansas","-72.73825767764087","41.57516414989576","-98.38015540415404","38.484727072453566","2021-01-21","19","400.0",""
"Connecticut","Kentucky","-72.73825767764087","41.57516414989576","-85.29055223275348","37.5266141736611","2021-01-21","32","673.0",""
"Connecticut","Louisiana","-72.73825767764087","41.57516414989576","-91.81423318426776","30.909072897746587","2021-01-21","39","821.0",""
"Connecticut","Maine","-72.73825767764087","41.57516414989576","-69.20275986278288","45.27432853102379","2021-01-21","207","4358.0",""
"Connecticut","Maryland","-72.73825767764087","41.57516414989576","-76.68717734070172","38.94649396258224","2021-01-21","176","3705.0",""
"Connecticut","Massachusetts","-72.73825767764087","41.57516414989576","-71.503972041848","42.16009326868467","2021-01-21","3531","74349.0",""
"Connecticut","Michigan","-72.73825767764087","41.57516414989576","-85.73095291151436","44.874773603554175","2021-01-21","71","1494.0",""
"Connecticut","Minnesota","-72.73825767764087","41.57516414989576","-94.19830560457336","46.3491103788664","2021-01-21","26","547.0",""
"Connecticut","Mississippi","-72.73825767764087","41.57516414989576","-89.6533594096457","32.712892273261986","2021-01-21","24","505.0",""
"Connecticut","Missouri","-72.73825767764087","41.57516414989576","-92.4774251950813","38.3676304410753","2021-01-21","42","884.0",""
"Connecticut","Montana","-72.73825767764087","41.57516414989576","-109.6452069879664","47.03342111039991","2021-01-21","27","568.0",""
"Connecticut","Nebraska","-72.73825767764087","41.57516414989576","-99.81085586033896","41.5271511252317","2021-01-21","9","189.0",""
